codigo|nombre|total
C00091|Cliente 91|113.75
C00092|Cliente 92|115.00
C00093|Cliente 93|116.25
C00094|Cliente 94|117.50
C00095|Cliente 95|118.75
C00096|Cliente 96|120.00
C00097|Cliente 97|121.25
C00098|Cliente 98|122.50
C00099|Cliente 99|123.75
C00100||125.00
C00101|Cliente 101|126.25
C00102|Cliente 102|127.50
C00103|Cliente 103|128.75
C00104|Cliente 104|130.00
C00105|Cliente 105|131.25
C00106|Cliente 106|132.50
C00107|Cliente 107|133.75
C00108|Cliente 108|135.00
C00109|Cliente 109|136.25
C00110|Cliente 110|137.50
C00111|Cliente 111|138.75
C00112|Cliente 112|140.00
C00113|Cliente 113|141.25
C00114|Cliente 114|142.50
C00115|Cliente 115|143.75
C00116|Cliente 116|145.00
C00117|Cliente 117|146.25
C00118|Cliente 118|147.50
C00119|Cliente 119|148.75
C00120|Cliente 120|150.00
C00121|Cliente 121|151.25
C00122|Cliente 122|152.50
C00123|Cliente 123|153.75
C00124|Cliente 124|155.00
C00125|Cliente 125|156.25
C00126|Cliente 126|157.50
C00127|Cliente 127|158.75
C00128|Cliente 128|160.00
C00129|Cliente 129|161.25
C00130|Cliente 130|162.50
C00131|Cliente 131|163.75
C00132|Cliente 132|165.00
C00133|Cliente 133|166.25
C00134|Cliente 134|167.50
C00135|Cliente 135|168.75
C00136|Cliente 136|170.00
C00137|Cliente 137|171.25
C00138|Cliente 138|172.50
C00139|Cliente 139|173.75
C00140|Cliente 140|175.00
C00141|Cliente 141|176.25
C00142|Cliente 142|177.50
C00143|Cliente 143|178.75
C00144|Cliente 144|180.00
C00145|Cliente 145|181.25
C00146|Cliente 146|182.50
C00147|Cliente 147|183.75
C00148|Cliente 148|185.00
C00149|Cliente 149|186.25
C00150|Cliente 150|187.50
C00151|Cliente 151|188.75
C00152|Cliente 152|190.00
C00153|Cliente 153|191.25
C00154|Cliente 154|192.50
C00155|Cliente 155|193.75
C00156|Cliente 156|195.00
C00157|Cliente 157|196.25
C00158|Cliente 158|197.50
C00159|Cliente 159|198.75
C00160|Cliente 160|200.00
C00161|Cliente 161|201.25
C00162|Cliente 162|202.50
C00163|Cliente 163|203.75
C00164|Cliente 164|205.00
C00165|Cliente 165|206.25
C00166|Cliente 166|207.50
C00167|Cliente 167|208.75
C00168|Cliente 168|210.00
C00169|Cliente 169|211.25
C00170|Cliente 170|212.50
C00171|Cliente 171|213.75
C00172|Cliente 172|215.00
C00173|Cliente 173|216.25
C00174|Cliente 174|217.50
C00175|Cliente 175|218.75
C00176|Cliente 176|220.00
C00177|Cliente 177|221.25
C00178|Cliente 178|222.50
C00179|Cliente 179|223.75
C00180|Cliente 180|225.00
C00181|Cliente 181|226.25
C00182|Cliente 182|227.50
C00183|Cliente 183|228.75
C00184|Cliente 184|230.00
C00185|Cliente 185|231.25
C00186|Cliente 186|232.50
C00187|Cliente 187|233.75
C00188|Cliente 188|235.00
C00189|Cliente 189|236.25
C00190|Cliente 190|237.50
C00191|Cliente 191|238.75
C00192|Cliente 192|240.00
C00193|Cliente 193|241.25
C00194|Cliente 194|242.50
C00195|Cliente 195|243.75
C00196|Cliente 196|245.00
C00197|Cliente 197|246.25
C00198|Cliente 198|247.50
C00199|Cliente 199|248.75
C00200||250.00
C00201|Cliente 201|251.25
C00202|Cliente 202|252.50
C00203|Cliente 203|253.75
C00204|Cliente 204|255.00
C00205|Cliente 205|256.25
C00206|Cliente 206|257.50
C00207|Cliente 207|258.75
C00208|Cliente 208|260.00
C00209|Cliente 209|261.25
C00210|Cliente 210|262.50
C00211|Cliente 211|263.75
C00212|Cliente 212|265.00
C00213|Cliente 213|266.25
C00214|Cliente 214|267.50
C00215|Cliente 215|268.75
C00216|Cliente 216|270.00
C00217|Cliente 217|271.25
C00218|Cliente 218|272.50
C00219|Cliente 219|273.75
C00220|Cliente 220|275.00
C00221|Cliente 221|276.25
C00222|Cliente 222|277.50
C00223|Cliente 223|278.75
C00224|Cliente 224|280.00
C00225|Cliente 225|281.25
C00226|Cliente 226|282.50
C00227|Cliente 227|283.75
C00228|Cliente 228|285.00
C00229|Cliente 229|286.25
C00230|Cliente 230|287.50
C00231|Cliente 231|288.75
C00232|Cliente 232|290.00
C00233|Cliente 233|291.25
C00234|Cliente 234|292.50
C00235|Cliente 235|293.75
C00236|Cliente 236|295.00
C00237|Cliente 237|296.25
C00238|Cliente 238|297.50
C00239|Cliente 239|298.75
C00240|Cliente 240|300.00
C00241|Cliente 241|301.25
C00242|Cliente 242|302.50
C00243|Cliente 243|303.75
C00244|Cliente 244|305.00
C00245|Cliente 245|306.25
C00246|Cliente 246|307.50
C00247|Cliente 247|308.75
C00248|Cliente 248|310.00
C00249|Cliente 249|311.25
C00250|Cliente 250|312.50
C00251|Cliente 251|313.75
C00252|Cliente 252|315.00
C00253|Cliente 253|316.25
C00254|Cliente 254|317.50
C00255|Cliente 255|318.75
C00256|Cliente 256|320.00
C00257|Cliente 257|321.25
C00258|Cliente 258|322.50
C00259|Cliente 259|323.75
C00260|Cliente 260|325.00
C00261|Cliente 261|326.25
C00262|Cliente 262|327.50
C00263|Cliente 263|328.75
C00264|Cliente 264|330.00
C00265|Cliente 265|331.25
C00266|Cliente 266|332.50
C00267|Cliente 267|333.75
C00268|Cliente 268|335.00
C00269|Cliente 269|336.25
C00270|Cliente 270|337.50
C00271|Cliente 271|338.75
C00272|Cliente 272|340.00
C00273|Cliente 273|341.25
C00274|Cliente 274|342.50
C00275|Cliente 275|343.75
C00276|Cliente 276|345.00
C00277|Cliente 277|346.25
C00278|Cliente 278|347.50
C00279|Cliente 279|348.75
C00280|Cliente 280|350.00
C00281|Cliente 281|351.25
C00282|Cliente 282|352.50
C00283|Cliente 283|353.75
C00284|Cliente 284|355.00
C00285|Cliente 285|356.25
C00286|Cliente 286|357.50
C00287|Cliente 287|358.75
C00288|Cliente 288|360.00
C00289|Cliente 289|361.25
C00290|Cliente 290|362.50
C00291|Cliente 291|363.75
C00292|Cliente 292|365.00
C00293|Cliente 293|366.25
C00294|Cliente 294|367.50
C00295|Cliente 295|368.75
C00296|Cliente 296|370.00
C00297|Cliente 297|371.25
C00298|Cliente 298|372.50
C00299|Cliente 299|373.75
C00300||375.00
C00301|Cliente 301|376.25
C00302|Cliente 302|377.50
C00303|Cliente 303|378.75
C00304|Cliente 304|380.00
C00305|Cliente 305|381.25
C00306|Cliente 306|382.50
C00307|Cliente 307|383.75
C00308|Cliente 308|385.00
C00309|Cliente 309|386.25
C00310|Cliente 310|387.50
C00311|Cliente 311|388.75
C00312|Cliente 312|390.00
C00313|Cliente 313|391.25
C00314|Cliente 314|392.50
C00315|Cliente 315|393.75
C00316|Cliente 316|395.00
C00317|Cliente 317|396.25
C00318|Cliente 318|397.50
C00319|Cliente 319|398.75
C00320|Cliente 320|400.00
C00321|Cliente 321|401.25
C00322|Cliente 322|402.50
C00323|Cliente 323|403.75
C00324|Cliente 324|405.00
C00325|Cliente 325|406.25
C00326|Cliente 326|407.50
C00327|Cliente 327|408.75
C00328|Cliente 328|410.00
C00329|Cliente 329|411.25
C00330|Cliente 330|412.50
C00331|Cliente 331|413.75
C00332|Cliente 332|415.00
C00333|Cliente 333|416.25
C00334|Cliente 334|417.50
C00335|Cliente 335|418.75
C00336|Cliente 336|420.00
C00337|Cliente 337|421.25
C00338|Cliente 338|422.50
C00339|Cliente 339|423.75
C00340|Cliente 340|425.00
C00341|Cliente 341|426.25
C00342|Cliente 342|427.50
C00343|Cliente 343|428.75
C00344|Cliente 344|430.00
C00345|Cliente 345|431.25
C00346|Cliente 346|432.50
C00347|Cliente 347|433.75
C00348|Cliente 348|435.00
C00349|Cliente 349|436.25
C00350|Cliente 350|437.50
C00351|Cliente 351|438.75
C00352|Cliente 352|440.00
C00353|Cliente 353|441.25
C00354|Cliente 354|442.50
C00355|Cliente 355|443.75
C00356|Cliente 356|445.00
C00357|Cliente 357|446.25
C00358|Cliente 358|447.50
C00359|Cliente 359|448.75
C00360|Cliente 360|450.00
C00361|Cliente 361|451.25
C00362|Cliente 362|452.50
C00363|Cliente 363|453.75
C00364|Cliente 364|455.00
C00365|Cliente 365|456.25
C00366|Cliente 366|457.50
C00367|Cliente 367|458.75
C00368|Cliente 368|460.00
C00369|Cliente 369|461.25
C00370|Cliente 370|462.50
C00371|Cliente 371|463.75
C00372|Cliente 372|465.00
C00373|Cliente 373|466.25
C00374|Cliente 374|467.50
C00375|Cliente 375|468.75
C00376|Cliente 376|470.00
C00377|Cliente 377|471.25
C00378|Cliente 378|472.50
C00379|Cliente 379|473.75
C00380|Cliente 380|475.00
C00381|Cliente 381|476.25
C00382|Cliente 382|477.50
C00383|Cliente 383|478.75
C00384|Cliente 384|480.00
C00385|Cliente 385|481.25
C00386|Cliente 386|482.50
C00387|Cliente 387|483.75
C00388|Cliente 388|485.00
C00389|Cliente 389|486.25
C00390|Cliente 390|487.50
C00391|Cliente 391|488.75
C00392|Cliente 392|490.00
C00393|Cliente 393|491.25
C00394|Cliente 394|492.50
C00395|Cliente 395|493.75
C00396|Cliente 396|495.00
C00397|Cliente 397|496.25
C00398|Cliente 398|497.50
C00399|Cliente 399|498.75
C00400||500.00
C00401|Cliente 401|501.25
C00402|Cliente 402|502.50
C00403|Cliente 403|503.75
C00404|Cliente 404|505.00
C00405|Cliente 405|506.25
C00406|Cliente 406|507.50
C00407|Cliente 407|508.75
C00408|Cliente 408|510.00
C00409|Cliente 409|511.25
C00410|Cliente 410|512.50
C00411|Cliente 411|513.75
C00412|Cliente 412|515.00
C00413|Cliente 413|516.25
C00414|Cliente 414|517.50
C00415|Cliente 415|518.75
C00416|Cliente 416|520.00
C00417|Cliente 417|521.25
C00418|Cliente 418|522.50
C00419|Cliente 419|523.75
C00420|Cliente 420|525.00
C00421|Cliente 421|526.25
C00422|Cliente 422|527.50
C00423|Cliente 423|528.75
C00424|Cliente 424|530.00
C00425|Cliente 425|531.25
C00426|Cliente 426|532.50
C00427|Cliente 427|533.75
C00428|Cliente 428|535.00
C00429|Cliente 429|536.25
C00430|Cliente 430|537.50
C00431|Cliente 431|538.75
C00432|Cliente 432|540.00
C00433|Cliente 433|541.25
C00434|Cliente 434|542.50
C00435|Cliente 435|543.75
C00436|Cliente 436|545.00
C00437|Cliente 437|546.25
C00438|Cliente 438|547.50
C00439|Cliente 439|548.75
C00440|Cliente 440|550.00
C00441|Cliente 441|551.25
C00442|Cliente 442|552.50
C00443|Cliente 443|553.75
C00444|Cliente 444|555.00
C00445|Cliente 445|556.25
C00446|Cliente 446|557.50
C00447|Cliente 447|558.75
C00448|Cliente 448|560.00
C00449|Cliente 449|561.25
C00450|Cliente 450|562.50
C00451|Cliente 451|563.75
C00452|Cliente 452|565.00
C00453|Cliente 453|566.25
C00454|Cliente 454|567.50
C00455|Cliente 455|568.75
C00456|Cliente 456|570.00
C00457|Cliente 457|571.25
C00458|Cliente 458|572.50
C00459|Cliente 459|573.75
C00460|Cliente 460|575.00
C00461|Cliente 461|576.25
C00462|Cliente 462|577.50
C00463|Cliente 463|578.75
C00464|Cliente 464|580.00
C00465|Cliente 465|581.25
C00466|Cliente 466|582.50
C00467|Cliente 467|583.75
C00468|Cliente 468|585.00
C00469|Cliente 469|586.25
C00470|Cliente 470|587.50
C00471|Cliente 471|588.75
C00472|Cliente 472|590.00
C00473|Cliente 473|591.25
C00474|Cliente 474|592.50
C00475|Cliente 475|593.75
C00476|Cliente 476|595.00
C00477|Cliente 477|596.25
C00478|Cliente 478|597.50
C00479|Cliente 479|598.75
C00480|Cliente 480|600.00
C00481|Cliente 481|601.25
C00482|Cliente 482|602.50
C00483|Cliente 483|603.75
C00484|Cliente 484|605.00
C00485|Cliente 485|606.25
C00486|Cliente 486|607.50
C00487|Cliente 487|608.75
C00488|Cliente 488|610.00
C00489|Cliente 489|611.25
C00490|Cliente 490|612.50
C00491|Cliente 491|613.75
C00492|Cliente 492|615.00
C00493|Cliente 493|616.25
C00494|Cliente 494|617.50
C00495|Cliente 495|618.75
C00496|Cliente 496|620.00
C00497|Cliente 497|621.25
C00498|Cliente 498|622.50
C00499|Cliente 499|623.75
C00500||625.00
C00501|Cliente 501|626.25
C00502|Cliente 502|627.50
C00503|Cliente 503|628.75
C00504|Cliente 504|630.00
C00505|Cliente 505|631.25
C00506|Cliente 506|632.50
C00507|Cliente 507|633.75
C00508|Cliente 508|635.00
C00509|Cliente 509|636.25
C00510|Cliente 510|637.50
C00511|Cliente 511|638.75
C00512|Cliente 512|640.00
C00513|Cliente 513|641.25
C00514|Cliente 514|642.50
C00515|Cliente 515|643.75
C00516|Cliente 516|645.00
C00517|Cliente 517|646.25
C00518|Cliente 518|647.50
C00519|Cliente 519|648.75
C00520|Cliente 520|650.00
C00521|Cliente 521|651.25
C00522|Cliente 522|652.50
C00523|Cliente 523|653.75
C00524|Cliente 524|655.00
C00525|Cliente 525|656.25
C00526|Cliente 526|657.50
C00527|Cliente 527|658.75
C00528|Cliente 528|660.00
C00529|Cliente 529|661.25
C00530|Cliente 530|662.50
C00531|Cliente 531|663.75
C00532|Cliente 532|665.00
C00533|Cliente 533|666.25
C00534|Cliente 534|667.50
C00535|Cliente 535|668.75
C00536|Cliente 536|670.00
C00537|Cliente 537|671.25
C00538|Cliente 538|672.50
C00539|Cliente 539|673.75
C00540|Cliente 540|675.00
C00541|Cliente 541|676.25
C00542|Cliente 542|677.50
C00543|Cliente 543|678.75
C00544|Cliente 544|680.00
C00545|Cliente 545|681.25
C00546|Cliente 546|682.50
C00547|Cliente 547|683.75
C00548|Cliente 548|685.00
C00549|Cliente 549|686.25
C00550|Cliente 550|687.50
C00551|Cliente 551|688.75
C00552|Cliente 552|690.00
C00553|Cliente 553|691.25
C00554|Cliente 554|692.50
C00555|Cliente 555|693.75
C00556|Cliente 556|695.00
C00557|Cliente 557|696.25
C00558|Cliente 558|697.50
C00559|Cliente 559|698.75
C00560|Cliente 560|700.00
C00561|Cliente 561|701.25
C00562|Cliente 562|702.50
C00563|Cliente 563|703.75
C00564|Cliente 564|705.00
C00565|Cliente 565|706.25
C00566|Cliente 566|707.50
C00567|Cliente 567|708.75
C00568|Cliente 568|710.00
C00569|Cliente 569|711.25
C00570|Cliente 570|712.50
C00571|Cliente 571|713.75
C00572|Cliente 572|715.00
C00573|Cliente 573|716.25
C00574|Cliente 574|717.50
C00575|Cliente 575|718.75
C00576|Cliente 576|720.00
C00577|Cliente 577|721.25
C00578|Cliente 578|722.50
C00579|Cliente 579|723.75
C00580|Cliente 580|725.00
C00581|Cliente 581|726.25
C00582|Cliente 582|727.50
C00583|Cliente 583|728.75
C00584|Cliente 584|730.00
C00585|Cliente 585|731.25
C00586|Cliente 586|732.50
C00587|Cliente 587|733.75
C00588|Cliente 588|735.00
C00589|Cliente 589|736.25
C00590|Cliente 590|737.50
C00591|Cliente 591|738.75
C00592|Cliente 592|740.00
C00593|Cliente 593|741.25
C00594|Cliente 594|742.50
C00595|Cliente 595|743.75
C00596|Cliente 596|745.00
C00597|Cliente 597|746.25
C00598|Cliente 598|747.50
C00599|Cliente 599|748.75
C00600||750.00
C00601|Cliente 601|751.25
C00602|Cliente 602|752.50
C00603|Cliente 603|753.75
C00604|Cliente 604|755.00
C00605|Cliente 605|756.25
C00606|Cliente 606|757.50
C00607|Cliente 607|758.75
C00608|Cliente 608|760.00
C00609|Cliente 609|761.25
C00610|Cliente 610|762.50
C00611|Cliente 611|763.75
C00612|Cliente 612|765.00
C00613|Cliente 613|766.25
C00614|Cliente 614|767.50
C00615|Cliente 615|768.75
C00616|Cliente 616|770.00
C00617|Cliente 617|771.25
C00618|Cliente 618|772.50
C00619|Cliente 619|773.75
C00620|Cliente 620|775.00
C00621|Cliente 621|776.25
C00622|Cliente 622|777.50
C00623|Cliente 623|778.75
C00624|Cliente 624|780.00
C00625|Cliente 625|781.25
C00626|Cliente 626|782.50
C00627|Cliente 627|783.75
C00628|Cliente 628|785.00
C00629|Cliente 629|786.25
C00630|Cliente 630|787.50
C00631|Cliente 631|788.75
C00632|Cliente 632|790.00
C00633|Cliente 633|791.25
C00634|Cliente 634|792.50
C00635|Cliente 635|793.75
C00636|Cliente 636|795.00
C00637|Cliente 637|796.25
C00638|Cliente 638|797.50
C00639|Cliente 639|798.75
C00640|Cliente 640|800.00
C00641|Cliente 641|801.25
C00642|Cliente 642|802.50
C00643|Cliente 643|803.75
C00644|Cliente 644|805.00
C00645|Cliente 645|806.25
C00646|Cliente 646|807.50
C00647|Cliente 647|808.75
C00648|Cliente 648|810.00
C00649|Cliente 649|811.25
C00650|Cliente 650|812.50
C00651|Cliente 651|813.75
C00652|Cliente 652|815.00
C00653|Cliente 653|816.25
C00654|Cliente 654|817.50
C00655|Cliente 655|818.75
C00656|Cliente 656|820.00
C00657|Cliente 657|821.25
C00658|Cliente 658|822.50
C00659|Cliente 659|823.75
C00660|Cliente 660|825.00
C00661|Cliente 661|826.25
C00662|Cliente 662|827.50
C00663|Cliente 663|828.75
C00664|Cliente 664|830.00
C00665|Cliente 665|831.25
C00666|Cliente 666|832.50
C00667|Cliente 667|833.75
C00668|Cliente 668|835.00
C00669|Cliente 669|836.25
C00670|Cliente 670|837.50
C00671|Cliente 671|838.75
C00672|Cliente 672|840.00
C00673|Cliente 673|841.25
C00674|Cliente 674|842.50
C00675|Cliente 675|843.75
C00676|Cliente 676|845.00
C00677|Cliente 677|846.25
C00678|Cliente 678|847.50
C00679|Cliente 679|848.75
C00680|Cliente 680|850.00
C00681|Cliente 681|851.25
C00682|Cliente 682|852.50
C00683|Cliente 683|853.75
C00684|Cliente 684|855.00
C00685|Cliente 685|856.25
C00686|Cliente 686|857.50
C00687|Cliente 687|858.75
C00688|Cliente 688|860.00
C00689|Cliente 689|861.25
C00690|Cliente 690|862.50
C00691|Cliente 691|863.75
C00692|Cliente 692|865.00
C00693|Cliente 693|866.25
C00694|Cliente 694|867.50
C00695|Cliente 695|868.75
C00696|Cliente 696|870.00
C00697|Cliente 697|871.25
C00698|Cliente 698|872.50
C00699|Cliente 699|873.75
C00700||875.00
C00701|Cliente 701|876.25
C00702|Cliente 702|877.50
C00703|Cliente 703|878.75
C00704|Cliente 704|880.00
C00705|Cliente 705|881.25
C00706|Cliente 706|882.50
C00707|Cliente 707|883.75
C00708|Cliente 708|885.00
C00709|Cliente 709|886.25
C00710|Cliente 710|887.50
C00711|Cliente 711|888.75
C00712|Cliente 712|890.00
C00713|Cliente 713|891.25
C00714|Cliente 714|892.50
C00715|Cliente 715|893.75
C00716|Cliente 716|895.00
C00717|Cliente 717|896.25
C00718|Cliente 718|897.50
C00719|Cliente 719|898.75
C00720|Cliente 720|900.00
C00721|Cliente 721|901.25
C00722|Cliente 722|902.50
C00723|Cliente 723|903.75
C00724|Cliente 724|905.00
C00725|Cliente 725|906.25
C00726|Cliente 726|907.50
C00727|Cliente 727|908.75
C00728|Cliente 728|910.00
C00729|Cliente 729|911.25
C00730|Cliente 730|912.50
C00731|Cliente 731|913.75
C00732|Cliente 732|915.00
C00733|Cliente 733|916.25
C00734|Cliente 734|917.50
C00735|Cliente 735|918.75
C00736|Cliente 736|920.00
C00737|Cliente 737|921.25
C00738|Cliente 738|922.50
C00739|Cliente 739|923.75
C00740|Cliente 740|925.00
C00741|Cliente 741|926.25
C00742|Cliente 742|927.50
C00743|Cliente 743|928.75
C00744|Cliente 744|930.00
C00745|Cliente 745|931.25
C00746|Cliente 746|932.50
C00747|Cliente 747|933.75
C00748|Cliente 748|935.00
C00749|Cliente 749|936.25
C00750|Cliente 750|937.50
C00751|Cliente 751|938.75
C00752|Cliente 752|940.00
C00753|Cliente 753|941.25
C00754|Cliente 754|942.50
C00755|Cliente 755|943.75
C00756|Cliente 756|945.00
C00757|Cliente 757|946.25
C00758|Cliente 758|947.50
C00759|Cliente 759|948.75
C00760|Cliente 760|950.00
C00761|Cliente 761|951.25
C00762|Cliente 762|952.50
C00763|Cliente 763|953.75
C00764|Cliente 764|955.00
C00765|Cliente 765|956.25
C00766|Cliente 766|957.50
C00767|Cliente 767|958.75
C00768|Cliente 768|960.00
C00769|Cliente 769|961.25
C00770|Cliente 770|962.50
C00771|Cliente 771|963.75
C00772|Cliente 772|965.00
C00773|Cliente 773|966.25
C00774|Cliente 774|967.50
C00775|Cliente 775|968.75
C00776|Cliente 776|970.00
C00777|Cliente 777|971.25
C00778|Cliente 778|972.50
C00779|Cliente 779|973.75
C00780|Cliente 780|975.00
C00781|Cliente 781|976.25
C00782|Cliente 782|977.50
C00783|Cliente 783|978.75
C00784|Cliente 784|980.00
C00785|Cliente 785|981.25
C00786|Cliente 786|982.50
C00787|Cliente 787|983.75
C00788|Cliente 788|985.00
C00789|Cliente 789|986.25
C00790|Cliente 790|987.50
C00791|Cliente 791|988.75
C00792|Cliente 792|990.00
C00793|Cliente 793|991.25
C00794|Cliente 794|992.50
C00795|Cliente 795|993.75
C00796|Cliente 796|995.00
C00797|Cliente 797|996.25
C00798|Cliente 798|997.50
C00799|Cliente 799|998.75
C00800||1000.00
C00801|Cliente 801|1001.25
C00802|Cliente 802|1002.50
C00803|Cliente 803|1003.75
C00804|Cliente 804|1005.00
C00805|Cliente 805|1006.25
C00806|Cliente 806|1007.50
C00807|Cliente 807|1008.75
C00808|Cliente 808|1010.00
C00809|Cliente 809|1011.25
C00810|Cliente 810|1012.50
C00811|Cliente 811|1013.75
C00812|Cliente 812|1015.00
C00813|Cliente 813|1016.25
C00814|Cliente 814|1017.50
C00815|Cliente 815|1018.75
C00816|Cliente 816|1020.00
C00817|Cliente 817|1021.25
C00818|Cliente 818|1022.50
C00819|Cliente 819|1023.75
C00820|Cliente 820|1025.00
C00821|Cliente 821|1026.25
C00822|Cliente 822|1027.50
C00823|Cliente 823|1028.75
C00824|Cliente 824|1030.00
C00825|Cliente 825|1031.25
C00826|Cliente 826|1032.50
C00827|Cliente 827|1033.75
C00828|Cliente 828|1035.00
C00829|Cliente 829|1036.25
C00830|Cliente 830|1037.50
C00831|Cliente 831|1038.75
C00832|Cliente 832|1040.00
C00833|Cliente 833|1041.25
C00834|Cliente 834|1042.50
C00835|Cliente 835|1043.75
C00836|Cliente 836|1045.00
C00837|Cliente 837|1046.25
C00838|Cliente 838|1047.50
C00839|Cliente 839|1048.75
C00840|Cliente 840|1050.00
C00841|Cliente 841|1051.25
C00842|Cliente 842|1052.50
C00843|Cliente 843|1053.75
C00844|Cliente 844|1055.00
C00845|Cliente 845|1056.25
C00846|Cliente 846|1057.50
C00847|Cliente 847|1058.75
C00848|Cliente 848|1060.00
C00849|Cliente 849|1061.25
C00850|Cliente 850|1062.50
C00851|Cliente 851|1063.75
C00852|Cliente 852|1065.00
C00853|Cliente 853|1066.25
C00854|Cliente 854|1067.50
C00855|Cliente 855|1068.75
C00856|Cliente 856|1070.00
C00857|Cliente 857|1071.25
C00858|Cliente 858|1072.50
C00859|Cliente 859|1073.75
C00860|Cliente 860|1075.00
C00861|Cliente 861|1076.25
C00862|Cliente 862|1077.50
C00863|Cliente 863|1078.75
C00864|Cliente 864|1080.00
C00865|Cliente 865|1081.25
C00866|Cliente 866|1082.50
C00867|Cliente 867|1083.75
C00868|Cliente 868|1085.00
C00869|Cliente 869|1086.25
C00870|Cliente 870|1087.50
C00871|Cliente 871|1088.75
C00872|Cliente 872|1090.00
C00873|Cliente 873|1091.25
C00874|Cliente 874|1092.50
C00875|Cliente 875|1093.75
C00876|Cliente 876|1095.00
C00877|Cliente 877|1096.25
C00878|Cliente 878|1097.50
C00879|Cliente 879|1098.75
C00880|Cliente 880|1100.00
C00881|Cliente 881|1101.25
C00882|Cliente 882|1102.50
C00883|Cliente 883|1103.75
C00884|Cliente 884|1105.00
C00885|Cliente 885|1106.25
C00886|Cliente 886|1107.50
C00887|Cliente 887|1108.75
C00888|Cliente 888|1110.00
C00889|Cliente 889|1111.25
C00890|Cliente 890|1112.50
C00891|Cliente 891|1113.75
C00892|Cliente 892|1115.00
C00893|Cliente 893|1116.25
C00894|Cliente 894|1117.50
C00895|Cliente 895|1118.75
C00896|Cliente 896|1120.00
C00897|Cliente 897|1121.25
C00898|Cliente 898|1122.50
C00899|Cliente 899|1123.75
C00900||1125.00
C00901|Cliente 901|1126.25
C00902|Cliente 902|1127.50
C00903|Cliente 903|1128.75
C00904|Cliente 904|1130.00
C00905|Cliente 905|1131.25
C00906|Cliente 906|1132.50
C00907|Cliente 907|1133.75
C00908|Cliente 908|1135.00
C00909|Cliente 909|1136.25
C00910|Cliente 910|1137.50
C00911|Cliente 911|1138.75
C00912|Cliente 912|1140.00
C00913|Cliente 913|1141.25
C00914|Cliente 914|1142.50
C00915|Cliente 915|1143.75
C00916|Cliente 916|1145.00
C00917|Cliente 917|1146.25
C00918|Cliente 918|1147.50
C00919|Cliente 919|1148.75
C00920|Cliente 920|1150.00
C00921|Cliente 921|1151.25
C00922|Cliente 922|1152.50
C00923|Cliente 923|1153.75
C00924|Cliente 924|1155.00
C00925|Cliente 925|1156.25
C00926|Cliente 926|1157.50
C00927|Cliente 927|1158.75
